Number,Kannada,in English,Mispelled Kannada
751,ಬಂಡವಾಳ,capital,ಬಂಡವಾಳಾ
752,ತಿನ್ನುವೆ,won’t,ತಿನ್ನುವೆಾ
753,ಕುರ್ಚಿ,chair,ಕುರ್ಚಿವ
754,ಅಪಾಯ,danger,ಅಪಾ
755,ಹಣ್ಣು,fruit,ಹಣ್ಣುಾ
756,ಶ್ರೀಮಂತ,rich,ಶ್ರೀಮಂತವ
757,ದಪ್ಪ,thick,ದಪ್
758,ಸೈನಿಕ,soldier,ಸೈನಿಕಾ
759,ಪ್ರಕ್ರಿಯೆ,process,ಪ್ರಕ್ರಿಯ
760,ಕೆಲಸ,operate,ಕೆಲಸಾ
761,ಅಭ್ಯಾಸ,practice,ಅಭ್ಯಾಸಾ
762,ಪ್ರತ್ಯೇಕ,separate,ಪ್ರತ್ಯೇಕಅ
763,ಕಷ್ಟ,difficult,ಕಷ್ಟಾಾ
764,ವೈದ್ಯರು,doctor,ವೈದ್ಯರುವ
765,ದಯವಿಟ್ಟು,please,ದಯವಿಟ್ಟುಾ
766,ರಕ್ಷಿಸಲು,protect,ರಕ್ಷಿಸ
767,ಮಧ್ಯಾಹ್ನ,noon,ಮಧ್ಯಾಹ್ನಾ
768,ಬೆಳೆ,crop,ಬೆಳೆಾ
769,ಆಧುನಿಕ,modern,ಆಧುನಿ
770,ಅಂಶ,element,ಅಂಶಾ
771,ಹಿಟ್,hit,ಹಿಟ್ಾ
772,ವಿದ್ಯಾರ್ಥಿ,student,ವಿದ್ಯಾರ್ಥಿಾ
773,ಮೂಲೆಯಲ್ಲಿ,corner,ಮೂಲೆಯಲ್ಲಿಾ
774,ಪಕ್ಷದ,party,ಪಕ್ಷದಾ
775,ಪೂರೈಕೆ,supply,ಪೂರೈಕೆಾ
776,ಅವರ,whose,ಅವರಾ
777,ಪತ್ತೆ,locate,ಪತ್ತೆಾ
778,ರಿಂಗ್,ring,ರಿಂಗ್ಾ
779,ರ,character,ರಾ
780,ಕೀಟ,insect,ಕೀಟಾ
781,ಕ್ಯಾಚ್,caught,ಕ್ಯಾಚ್ಕ
782,ಅವಧಿ,period,ಅವಧಿಲ
783,ಸೂಚಿಸುತ್ತದೆ,indicate,ಸೂಚಿಸುತ್ತದೆಾ
784,ರೇಡಿಯೋ,radio,ರೇಡಿಯೋಾ
785,ಮಾತನಾಡಿದರು,spoke,ಮಾತನಾಡಿದರುಾ
786,ಪರಮಾಣು,atom,ಪರಮಾಣ
787,ಮಾನವ,human,ಮಾನ
788,ಇತಿಹಾಸ,history,ಇತಿಹಾ
789,ಪರಿಣಾಮ,effect,ಪರಿಣಾ
790,ವಿದ್ಯುತ್,electric,ವಿದ್ಯುತ್ಾ
791,ನಿರೀಕ್ಷೆ,expect,ನಿರೀಕ್ಷೆಾ
792,ಮೂಳೆ,bone,ಮೂಳೆಾ
793,ರೈಲು,rail,ರೈಲುಾ
794,ಕಲ್ಪನೆ,imagine,ಕಲ್ಪನ
795,ಒದಗಿಸಲು,provide,ಒದಗಿಸಲ
796,ಒಪ್ಪುತ್ತೇನೆ,agree,ಒದಗಿಸ
797,ಹೀಗೆ,thus,ಹೀಗ
798,ಶಾಂತ,gentle,ಶಾಂ
799,ಮಹಿಳೆ,woman,ಮಹಿಳ
800,ನಾಯಕ,captain,ನಾಯ
801,ಊಹೆ,guess,ಊಹಾ
802,ಅಗತ್ಯ,necessary,ಅಗತ್ಯಾ
803,ಚೂಪಾದ,sharp,ಚೂಪಾ
804,ರೆಕ್ಕೆ,wing,ರೆಕ್ಕೆಾ
805,ರಚಿಸಲು,create,ರಚಿಸಲ
806,ನೆರೆಯ,neighbor,ನೆರೆಯಾ
807,ಮುಖ,wash,ಮುಖಸ
808,ಬ್ಯಾಟ್,bat,ಬ್ಯಾಟ್ಾ
809,ಬದಲಿಗೆ,rather,ಬದಲಿಗ
810,ಗುಂಪು,crowd,ಗುಂಪ
811,ಕಾರ್ನ್,corn,ಕಾರ್ನ
812,ಹೋಲಿಸಿ,compare,ಹೋಲಿಸ
813,ಕವಿತೆಯ,poem,ಕವಿತೆ
814,ಸ್ಟ್ರಿಂಗ್,string,ಸ್ಟ್ರಿಂಗ
815,ಬೆಲ್,bell,ಬೆಲ
816,ಅವಲಂಬಿಸಿರುತ್ತದೆ,depend,ಅವಲಂಬಿಸಿರುತ್ತದಾ
817,ಮಾಂಸ,meat,ಮಾಂ
818,ರಬ್,rub,ರಬ
819,ಟ್ಯೂಬ್,tube,ಟ್ಯೂಬ
820,ಪ್ರಸಿದ್ಧ,famous,ಪ್ರಸಿದ್
921,ಡಾಲರ್,dollar,ಡಾಲರ
822,ಸ್ಟ್ರೀಮ್,stream,ಸ್ಟ್ರೀಮ
823,ಭಯ,fear,ಭಯಾ
284,ದೃಷ್ಟಿ,sight, ದೃಷ್ಟ
825,ತೆಳುವಾದ,thin,ತೆಳುವಾ
826,ತ್ರಿಕೋನ,triangle,ತ್ರಿಕೋ
827,ಗ್ರಹದ,planet,ಗ್ರಹ
828,ಯದ್ವಾತದ್ವಾ,hurry,ಯದ್ವಾತದ್ವ
829,ಮುಖ್ಯ,chief,ಮುಖ್
830,ವಸಾಹತು,colony,ವಸಾಹತ
831,ಗಡಿಯಾರ,clock,ಗಡಿಯಾ
832,ಗಣಿ,mine,ಗಣ
833,ಟೈ,tie,ಟೈಾ
834,ನಮೂದಿಸಿ,enter,ನಮೂದಿಸ
835,ಪ್ರಮುಖ,major,ಪ್ರಮು
836,ತಾಜಾ,fresh, ತಾಜ
837,ಹುಡುಕಾಟ,search,ಹುಡುಕಾ
838,ಕಳುಹಿಸಿ,send,ಕಳುಹಿಸ
839,ಹಳದಿ,yellow,ಹಳದ
840,ಗನ್,gun,ಗನ
841,ಅವಕಾಶ,allow,ಅವಕಾ
842,ಮುದ್ರಣ,print,ಮುದ್ರ
843,ಸತ್ತ,dead,ಸತ್
844,ಸ್ಪಾಟ್,spot,ಸ್ಪಾಟ್ಾ
845,ಮರುಭೂಮಿಯ,desert,ಮರುಭೂಮಿ
846,ಸೂಟ್,suit,ಸೂಟ
847,ಪ್ರಸ್ತುತ,current,ಪ್ರಸ್ತುಾ
848,ಲಿಫ್ಟ್,lift,ಲಿಫ್ಟ
840,ಗುಲಾಬಿ,rose,ಗುಲಾಬ
850,ಬರುವ,arrive,ಬರು
851,ಮಾಸ್ಟರ್,master, ಮಾಸ್ಟರ್ಾ
852,ಟ್ರ್ಯಾಕ್,track,ಟ್ರ್ಯಾಕ
853,ಮೂಲ,parent,ಮೂ
854,ತೀರದ,shore,ತೀರ
855,ವಿಭಾಗ,division,ವಿಭಾ
856,ಹಾಳೆ,sheet,ಹಾಳ
857,ವಸ್ತುವಿನ,substance,ವಸ್ತುವಿ
858,ಒಲವು,favor,ಒಲ
859,ಸಂಪರ್ಕ,connect,ಸಂಪರ್
860,ಪೋಸ್ಟ್,post, ಪೋಸ್ಟ
861,ಖರ್ಚು,spend,ಖರ್ಚುಾ
862,ಸ್ವರಮೇಳ,chord,ಸ್ವರಮೇಳಾ
863,ಕೊಬ್ಬು,fat,ಕೊಬ್ಬುಾ
864,ಸಂತೋಷವನ್ನು,glad,ಸಂತೋಷವನ್ನ
865,ಮೂಲ,original,ಮೂಲಾ
866,ಪಾಲು,share,ಪಾಲ
867,ಕೇಂದ್ರ,station,ಕೇಂದ್
868,ತಂದೆ,dad,ತಂದ
869,ಬ್ರೆಡ್,bread,ಬ್ರೆಡ್ಾ
870,ಚಾರ್ಜ್,charge,ಚಾರ್ಜ
871,ಸರಿಯಾದ,proper,ಸರಿಯಾ
872,ಬಾರ್,bar,v
