Number,Kannada,in English,Mispelled Kannada
1,ಮಾಹಿತಿ,as,ಮಾಹಿತ
2,ನಾನು,I,ನಾನ
3,ಅವರ,his,ಅವರು
4,ಆ,that,ಆ್
5,ಅವರು,he,ಅವರ
6,ಆಗಿತ್ತು,was,ಆಗತ್ತು
7,ಫಾರ್,for,ಫಾರ
8,ಮೇಲೆ,on,ಮಲೆ
9,ಇವೆ,are,ಇವ
10,ಜೊತೆ,with,ಜತೆ
11,ಅವರು,they,ಅವರ
12,ಎಂದು,be,ಎಂದುೆ
13,ನಲ್ಲಿ,at,ನಲ್ಲ
14,ಒಂದು,one,ಒಂದ
15,ಹೊಂದಿವೆ,have,ಹೊದಿವೆ
16,ಈ,this,ಈೆ
17,ರಿಂದ,from,ರಿಂದು
18,ಮೂಲಕ,by,ಮೂಲಕು
19,ಬಿಸಿ,hot,ಬಿಸ
20,ಪದ,word,ಪದು
21,ಆದರೆ,but,ಆದರೆೆೆೆೇ
22,ಏನು,what,ಏನ
23,ಕೆಲವು,some,ಕೆಲವ
24,ಆಗಿದೆ,is,ಆಗದೆ
25,ಇದು,it,ಇದ
26,ನೀವು,you,ನವು
27,ಅಥವಾ,or,ಅಥವ
28,ಹೊಂದಿತ್ತು,had,ಹೊಂದಿತ
29,ದಿ,the,ದಿೆೇ
30,ನ,of,ನು
31,ಗೆ,to,ಗ
32,ಮತ್ತು,and,ಮತ
33,ಒಂದು,a,ಒಂದ
34,ರಲ್ಲಿ,in,ರಲ
35,ನಾವು,we,ನಾವ
36,ಮಾಡಬಹುದು,can,ಮಾಡಹುದು
37,ಔಟ್,out,ಔಟ
38,ಇತರ,other,ಇತರು
39,ಎಂದು,were,ಎದು
40,ಇದು,which,ಇದ
41,ಹಾಗೆ,do,ಹಾಗ
42,ತಮ್ಮ,their,ತಮ
43,ಸಮಯ,time,ಸಮೆಯ
44,ವೇಳೆ,if,ವಳೆ
45,ತಿನ್ನುವೆ,will,ತಿನ್ನುವ
46,ಹೇಗೆ,how,ಹಗೆ
47,ಹೇಳಿದರು,said,ಹಳಿದರು
48,ಒಂದು,an,ಒದು
49,ಪ್ರತಿ,each,ಪ್ರತ
50,ಹೇಳಲು,tell,ಹೇಳಲ
51,ಮಾಡುತ್ತದೆ,does,ಮಾಡುತ್ತದ
52,ಸೆಟ್,set,ಸೆಟ
53,ಮೂರು,three,ಮರು
54,ಬಯಸುವ,want,ಬಯಸವ
