Number,Kannada,in English
751,ಬಂಡವಾಳ,capital
752,ತಿನ್ನುವೆ,won’t
753,ಕುರ್ಚಿ,chair
754,ಅಪಾಯ,danger
755,ಹಣ್ಣು,fruit
756,ಶ್ರೀಮಂತ,rich
757,ದಪ್ಪ,thick
758,ಸೈನಿಕ,soldier
759,ಪ್ರಕ್ರಿಯೆ,process
760,ಕೆಲಸ,operate
761,ಅಭ್ಯಾಸ,practice
762,ಪ್ರತ್ಯೇಕ,separate
763,ಕಷ್ಟ,difficult
764,ವೈದ್ಯರು,doctor
765,ದಯವಿಟ್ಟು,please
766,ರಕ್ಷಿಸಲು,protect
767,ಮಧ್ಯಾಹ್ನ,noon
768,ಬೆಳೆ,crop
769,ಆಧುನಿಕ,modern
770,ಅಂಶ,element
771,ಹಿಟ್,hit
772,ವಿದ್ಯಾರ್ಥಿ,student
773,ಮೂಲೆಯಲ್ಲಿ,corner
774,ಪಕ್ಷದ,party
775,ಪೂರೈಕೆ,supply
776,ಅವರ,whose
777,ಪತ್ತೆ,locate
778,ರಿಂಗ್,ring
779,ರ,character
780,ಕೀಟ,insect
781,ಕ್ಯಾಚ್,caught
782,ಅವಧಿ,period
783,ಸೂಚಿಸುತ್ತದೆ,indicate
784,ರೇಡಿಯೋ,radio
785,ಮಾತನಾಡಿದರು,spoke
786,ಪರಮಾಣು,atom
787,ಮಾನವ,human
788,ಇತಿಹಾಸ,history
789,ಪರಿಣಾಮ,effect
790,ವಿದ್ಯುತ್,electric
791,ನಿರೀಕ್ಷೆ,expect
792,ಮೂಳೆ,bone
793,ರೈಲು,rail
794,ಕಲ್ಪನೆ,imagine
795,ಒದಗಿಸಲು,provide
796,ಒಪ್ಪುತ್ತೇನೆ,agree
797,ಹೀಗೆ,thus
798,ಶಾಂತ,gentle
799,ಮಹಿಳೆ,woman
800,ನಾಯಕ,captain
801,ಊಹೆ,guess
802,ಅಗತ್ಯ,necessary
803,ಚೂಪಾದ,sharp
804,ರೆಕ್ಕೆ,wing
805,ರಚಿಸಲು,create
806,ನೆರೆಯ,neighbor
807,ಮುಖ,wash
808,ಬ್ಯಾಟ್,bat
809,ಬದಲಿಗೆ,rather
810,ಗುಂಪು,crowd
811,ಕಾರ್ನ್,corn
812,ಹೋಲಿಸಿ,compare
813,ಕವಿತೆಯ,poem
814,ಸ್ಟ್ರಿಂಗ್,string
815,ಬೆಲ್,bell
816,ಅವಲಂಬಿಸಿರುತ್ತದೆ,depend
817,ಮಾಂಸ,meat
818,ರಬ್,rub
819,ಟ್ಯೂಬ್,tube
820,ಪ್ರಸಿದ್ಧ,famous
921,ಡಾಲರ್,dollar
822,ಸ್ಟ್ರೀಮ್,stream
823,ಭಯ,fear
284,ದೃಷ್ಟಿ,sight
825,ತೆಳುವಾದ,thin
826,ತ್ರಿಕೋನ,triangle
827,ಗ್ರಹದ,planet
828,ಯದ್ವಾತದ್ವಾ,hurry
829,ಮುಖ್ಯ,chief
830,ವಸಾಹತು,colony
831,ಗಡಿಯಾರ,clock
832,ಗಣಿ,mine
833,ಟೈ,tie
834,ನಮೂದಿಸಿ,enter
835,ಪ್ರಮುಖ,major
836,ತಾಜಾ,fresh
837,ಹುಡುಕಾಟ,search
838,ಕಳುಹಿಸಿ,send
839,ಹಳದಿ,yellow
840,ಗನ್,gun
841,ಅವಕಾಶ,allow
842,ಮುದ್ರಣ,print
843,ಸತ್ತ,dead
844,ಸ್ಪಾಟ್,spot
845,ಮರುಭೂಮಿಯ,desert
846,ಸೂಟ್,suit
847,ಪ್ರಸ್ತುತ,current
848,ಲಿಫ್ಟ್,lift
840,ಗುಲಾಬಿ,rose
850,ಬರುವ,arrive
851,ಮಾಸ್ಟರ್,master
852,ಟ್ರ್ಯಾಕ್,track
853,ಮೂಲ,parent
854,ತೀರದ,shore
855,ವಿಭಾಗ,division
856,ಹಾಳೆ,sheet
857,ವಸ್ತುವಿನ,substance
858,ಒಲವು,favor
859,ಸಂಪರ್ಕ,connect
860,ಪೋಸ್ಟ್,post
861,ಖರ್ಚು,spend
862,ಸ್ವರಮೇಳ,chord
863,ಕೊಬ್ಬು,fat
864,ಸಂತೋಷವನ್ನು,glad
865,ಮೂಲ,original
866,ಪಾಲು,share
867,ಕೇಂದ್ರ,station
868,ತಂದೆ,dad
869,ಬ್ರೆಡ್,bread
870,ಚಾರ್ಜ್,charge
871,ಸರಿಯಾದ,proper
872,ಬಾರ್,bar
873,ಪ್ರಸ್ತಾಪವನ್ನು,offer
874,ಭಾಗ,segment
875,ಗುಲಾಮ,slave
876,ಡಕ್,duck
877,ತ್ವರಿತ,instant
878,ಮಾರುಕಟ್ಟೆ,market
879,ಪದವಿ,degree
