Number,Kannada,in English,Misspelt
251,ಪುಸ್ತಕ,book,ಪಸ್ತಕ
252,ಸಾಗಿಸುವ,carry,ಸಗಿಸುವ
253,ತೆಗೆದುಕೊಂಡಿತು,took,ತೆಗೆದುಕಾಡಿತು
254,ವಿಜ್ಞಾನ,science,ವಿಜ್ನನ
255,ತಿನ್ನಲು,eat,ತಿನ್ಲು
256,ಕೊಠಡಿ,room,ಕಠಡಿ
257,ಸ್ನೇಹಿತ,friend,ಸನೆಹಿತಾ
258,ಆರಂಭಿಸಿದರು,began,ಅರಾಮಬಿಸಿದಾರು
259,ಕಲ್ಪನೆ,idea,ಕಲಾಪನ
260,ಮೀನು,fish,ಮೇನು
261,ಪರ್ವತ,mountain,ಪವತ
262,ನಿಲ್ಲಿಸಲು,stop,ನಿಲಸಾಲು
263,ಒಮ್ಮೆ,once,ೊಮೆ
264,ಮೂಲ,base,ಮೊಲ
265,ಕೇಳಲು,hear,ಕೀಳಲು
266,ಕುದುರೆ,horse,ಕುದರೆ
267,ಕಟ್,cut,ಕುತ
268,ಖಚಿತವಾಗಿ,sure,ಖಚಿತವಾಗೆ
269,ವೀಕ್ಷಿಸಲು,watch,ವೆಕ್ಷಿಸಲು
270,ಬಣ್ಣ,color,ಬಾಣಾ
271,ಮುಖ,face,ಮೊಖಾ
272,ಮರದ,wood,ಮರಾದ
273,ಮುಖ್ಯ,main,ಮುಕಯಾ
274,ತೆರೆದ,open,ತೆರಾದ
275,ತೋರುತ್ತದೆ,seem,ತೊರತ್ತದೆ
276,ಒಟ್ಟಿಗೆ,together,ೊಥಿಗೆ
277,ಮುಂದಿನ,next,ಮುನದಿನಾ
278,ಬಿಳಿ,white,ಬಿಲಿ
279,ಮಕ್ಕಳ,children,ಮಕ್ಳ
280,ಆರಂಭಿಸಲು,begin,ಆರಂಭಿಸಿಲು
281,ಸಿಕ್ಕಿತು,got,ಸಿಕತು
282,ನಡೆಯಲು,walk,ನಾದೆಯಾಲು
283,ಉದಾಹರಣೆಗೆ,example,ುದಾಹಾರೆನೆಗೆ
284,ಸರಾಗಗೊಳಿಸುವ,ease,ಸರಾಗಗೊಳಿಸವ
285,ಕಾಗದದ,paper,ಕಾಗಾದಾ
286,ಗುಂಪು,group,ಗುಮಪು
287,ಯಾವಾಗಲೂ,always,ಯಾವಾಗಲು
288,ಸಂಗೀತ,music,ಸಾನಗೇತಾ
290,ಎರಡೂ,both,ೆರಾದು
291,ಮಾರ್ಕ್,mark,ಮಾರಕ
292,ಸಾಮಾನ್ಯವಾಗಿ,often,ಸಾಮಾನಯಾವಾಗಿ
293,ಪತ್ರ,letter,ಪಾತರಾ
294,ರವರೆಗೆ,until,ರವರಿಗೆ
295,ಮೈಲಿ,mile,ಮಾಿಲಿ
296,ನದಿ,river,ನಾದಿ
297,ಕಾರು,car,ಕಾರ
298,ಅಡಿ,feet,ಾದಿ
299,ಆರೈಕೆ,care,ಅಾರಾಿಕೆ
300,ಎರಡನೇ,second,ೆರುದಾನೆ
301,ಸಾಕಷ್ಟು,enough,ಸಾಕಾಸಹತು
302,ಸರಳ,plain,ಸಾರಲ
303,ಹುಡುಗಿ,girl,ಹುದುಗಿ
304,ಸಾಮಾನ್ಯ,usual,ಸಾಮಾನ್ಯಾ
305,ಯುವ,young,ಯುವಾ
306,ಸಿದ್ಧ,ready,ಸಿಧಾ
