Kannada,in English,misspelled,Frequency,"Complexity (1, 2, 3)"
ವಂದನೆ,Thanks,ವದನ,7,1
ತಾಯಿ,Mother,ತಯಿ,2,1
ಬುದ್ಧಿ,Wit,ಬದ್ಧ,2,1
ತೋರಿಸಿ,Show,ತೋರಿಸ,1,1
ಪಾಠ,Lesson,ಪಾಠ,1,1
ಚಿತ್ರ,Image,ಚಿತರ,1,1
ಪದ,Word,ಪದಾ,1,1
ತಂದೆ,Father,ತದೆ,1,1
ಕವಿ,Poet,ಕವ,1,1
ಬಗೆ,Type,ಬಗ,1,1
ವಿದ್ಯಾ,Education,ವದಯಾ,1,1
ಬಾಲ್ಯ,Childhood,ಬಲಯ,1,1
ಗುರು,Teacher,ಗರು,1,1
ರೋಗ,Disease,ರಗ,1,1
ನಿತ್ಯ,Everlasting,ನಿತಯ,1,1
ದುಡಿ,Work,ದಡ,1,1
ನನ್ನನು,Me,ನನನನು,2,2
ದುಡಿದು,Earned,ದಡದು,2,2
ಮಾಡುವೆ,Do it,ಮಾಡವೆ,2,2
ನಿತ್ಯದಿ,Routine,ನಿತ್ದಿ,2,2
ವೈದ್ಯೆ,Doctor,ವೈದ್ಯ,1,2
ಪದ್ಯ,Verse,ಪದಯ,1,2
ಕಂಬಾರ,Pillar(name),ಕಬಾರ,1,2
ನವಮಾಸ,New Month,ನವಮಸ,1,2
ಹೆತ್ತು,Fear,ಹೆತ್ತ,1,2
ತಾಯಿಗೆ,for/to mother,ತಾಯಗೆ,1,2
ತಂದೆಗೆ,To Father,ತದೆಗೆ,1,2
ವಾಸಿ,Healed,ವಸಿ,1,2
ವೈದ್ಯೆಗೆ, To Doctor,ವೈದ್ಯಗೆ,1,2
ಕಲಿಸಿ,Teach,ಕಲಸಿ,1,2
ಹರಸಿದ,Flown,ಹರಸದ,1,2
ಅನ್ನವ,food,ಅನನವ,1,2
ನೀಡುವ,Give,ನೀಡವ,1,2
ರೈತಗೆ,To the Farmer,ರತಗೆ,1,2
ನಾಡಿನ,Country,ನಾಡನ,1,2
ಮಾಡುತೆ,Do,ಮಾಡತ,1,2
ಕೀಳಿದ,inferior,ಕಳದ,1,2
ದ್ದುಡಿ,Earn,ದದುಡಿ,1,2
ರೈತ,Farmer,ರತ,1,2
ಮಾಸ,Month,ಮಾಸಾ,1,2
ಸಲಹು,Consult,ಸಲಹ,1,2
ಹೊತ್ತು,Time,ಹತ್ತು,2,3
ಮಾಡುವ,Doing,ಮಾಡವ,2,3
ಹೇಳಿಸಿ,To make Speak,ಹಳಿಸಿ,1,3
ಪೂರ್ವ,Before,ಪರ್ವ ,1,3
ಚಟುವಟಿಕೆ,Activity,ಚಟವಟಿಕೆ,1,3
ಸೈನಿಕ,Soldier,ಸೈನಕ,1,3
ಸಾಕಿದ,Enough,ಸಾಕದ,1,3
ಮೈಮುರಿ, Doubt,ಮಮುರಿ,1,3
ಸಲುಹಿ,encourage,ಸಲಹ,1,3
ಬೆಳಸಿದ,grown,ಬೆಳಸದ,1,3
ರೋಗವ,Disease,ರಗವ,1,3
ಬಾಲ್ಯಾದಿ,Childhood,ಬಾಲಯಾದಿ,1,3
ಗುರುವಿಗೆ,To Guru,ಗರವಿಗೆ,1,3
ರಕ್ಷಣೆ,Protection,ರಕಷಣ,1,3
ಯೋಧಗೆ,For the Warrior,ಯಧಗ,1,3
ಪದಗಳು,Words,ಪದಾಗಳು,1,3
ಪದಗಳ,Word,ಪದಗಾಳ,1,3
ತಿಂಗಳು,Month,ತಿಗಳ,1,3
ಪ್ರತಿದಿನ,Everyday,ಪರತದನ,1,3
