Number,Kannada,in English,Mispelled Kannada
501,ಶಕ್ತಿ,energy,ಶಕ್ತ
502,ಬೇಟೆ,hunt,ಬೇಟೇ
503,ಬಹುಶಃ,probable,ಬಹುಶಯ
504,ಹಾಸಿಗೆ,bed,ಹಾಸಿಗ
505,ಸಹೋದರ,brother,ಸಹೋವರ
506,ಮೊಟ್ಟೆ,egg,ಮಟ್ಟೆ
507,ಸವಾರಿ,ride,ಸವರಿ
508,ಸೆಲ್,cell,ಸೆಲ
509,ನಂಬಿಕೆ,believe,ನಂಬಕೆ
510,ಬಹುಶಃ,perhaps,ಬಹಶಃ
511,ಆಯ್ಕೆ,pick,ಅಯ್
512,ಹಠಾತ್,sudden,ಹಠತ್
513,ಎಣಿಕೆ,count,ಎಣಕ
514,ಚದರ,square,ಚದರಿ
515,ಕಾರಣ,reason,ಕರಣ
516,ಉದ್ದ,length,ಉದ್
517,ಪ್ರತಿನಿಧಿಸುತ್ತವೆ,represent,ಪ್ರತನಧಿಸುತ್ತವೆ
518,ಕಲೆ,art,ಕಲ
519,ವಿಷಯದ,subject,ವಷಯದ
520,ಪ್ರದೇಶದಲ್ಲಿ,region,ಪ್ರದೇಶದಲ
521,ಗಾತ್ರ,size,ಗತ
522,ಬದಲಾಗುತ್ತವೆ,vary,ಬದಲಗುತ್ತವೆ
523,ಇತ್ಯರ್ಥ,settle,ಇತರ್ಥ
524,ಮಾತನಾಡಲು,speak,ಮತನಾಡಲ
525,ತೂಕದ,weight,ತಕದ
526,ಸಾಮಾನ್ಯ,general,ಸಮಾನ್ಯ
527,ಐಸ್,ice,ಐಸ
528,ಮ್ಯಾಟರ್,matter,ಮ್ಯಾಟರ
529,ವೃತ್ತದ,circle,ವತ್ತದ
530,ಜೋಡಿ,pair,ಜಡಿ
531,ಸೇರಿವೆ,include,ಸರಿವೆ
532,ವಿಭಜನೆಯನ್ನು,divide,ವಿಭಜನೆಯನ
533,ಉಚ್ಚಾರಗಳು,syllable,ಉಚರಗಳ
534,ಅಭಿಪ್ರಾಯ,felt,ಅಭಿಪಯ
535,ಮಹೋನ್ನತ,grand,ಮಹನತ
536,ಚೆಂಡನ್ನು,ball,ಚೆಂಡನ
537,ಇನ್ನೂ,yet,ಇನ
538,ತರಂಗ,wave,ತರಂಗ
539,ಬಿಡಿ,drop,ಬಿಡ
540,ಹೃದಯ,heart,ಹದಯ
541,ನಾನು,am,ನನು
542,ಪ್ರಸ್ತುತ,present,ಪಸ್ತುತ
543,ಭಾರೀ,heavy,ಭಾರ
544,ನೃತ್ಯ,dance,ನೃತ
545,ಎಂಜಿನ್,engine,ಎಂಜನ್
546,ಸ್ಥಾನ,position,ಸ್ಥನ
547,ಕೈ,arm,ಕ
