Number,Kannada,in English
501,ಶಕ್ತಿ,energy
502,ಬೇಟೆ,hunt
503,ಬಹುಶಃ,probable
504,ಹಾಸಿಗೆ,bed
505,ಸಹೋದರ,brother
506,ಮೊಟ್ಟೆ,egg
507,ಸವಾರಿ,ride
508,ಸೆಲ್,cell
509,ನಂಬಿಕೆ,believe
510,ಬಹುಶಃ,perhaps
511,ಆಯ್ಕೆ,pick
512,ಹಠಾತ್,sudden
513,ಎಣಿಕೆ,count
514,ಚದರ,square
515,ಕಾರಣ,reason
516,ಉದ್ದ,length
517,ಪ್ರತಿನಿಧಿಸುತ್ತವೆ,represent
518,ಕಲೆ,art
519,ವಿಷಯದ,subject
520,ಪ್ರದೇಶದಲ್ಲಿ,region
521,ಗಾತ್ರ,size
522,ಬದಲಾಗುತ್ತವೆ,vary
523,ಇತ್ಯರ್ಥ,settle
524,ಮಾತನಾಡಲು,speak
525,ತೂಕದ,weight
526,ಸಾಮಾನ್ಯ,general
527,ಐಸ್,ice
528,ಮ್ಯಾಟರ್,matter
529,ವೃತ್ತದ,circle
530,ಜೋಡಿ,pair
531,ಸೇರಿವೆ,include
532,ವಿಭಜನೆಯನ್ನು,divide
533,ಉಚ್ಚಾರಗಳು,syllable
534,ಅಭಿಪ್ರಾಯ,felt
535,ಮಹೋನ್ನತ,grand
536,ಚೆಂಡನ್ನು,ball
537,ಇನ್ನೂ,yet
538,ತರಂಗ,wave
539,ಬಿಡಿ,drop
540,ಹೃದಯ,heart
541,ನಾನು,am
542,ಪ್ರಸ್ತುತ,present
543,ಭಾರೀ,heavy
544,ನೃತ್ಯ,dance
545,ಎಂಜಿನ್,engine
546,ಸ್ಥಾನ,position
547,ಕೈ,arm
548,ವ್ಯಾಪಕ,wide
549,ಪಟ,sail
550,ವಸ್ತು,material
551,ಕ,fraction
552,ಅರಣ್ಯ,forest
553,ಕುಳಿತು,sit
554,ಓಟದ,race
555,ವಿಂಡೋ,window
556,ಅಂಗಡಿ,store
557,ಬೇಸಿಗೆ,summer
558,ರೈಲು,train
559,ನಿದ್ರೆ,sleep
560,ಸಾಬೀತು,prove
561,ಒಂಟಿ,lone
562,ಲೆಗ್,leg
563,ವ್ಯಾಯಾಮ,exercise
564,ಗೋಡೆಯ,wall
565,ಕ್ಯಾಚ್,catch
566,ಆರೋಹಣ,mount
567,ಬಯಸುವ,wish
568,ಆಕಾಶ,sky
569,ಬೋರ್ಡ್,board
570,ಸಂತೋಷ,joy
571,ಚಳಿಗಾಲದ,winter
572,ಶನಿ,sat
573,ಬರೆದ,written
574,ಕಾಡು,wild
575,ವಾದ್ಯ,instrument
576,ಇದ್ದರು,kept
577,ಗಾಜಿನ,glass
578,ಹುಲ್ಲು,grass
579,ಹಸುವಿನ,cow
580,ಕೆಲಸ,job
581,ಅಂಚಿನ,edge
582,ಸೈನ್,sign
583,ಭೇಟಿ,visit
584,ಕಳೆದ,past
585,ಮೃದು,soft
586,ಮೋಜಿನ,fun
587,ಪ್ರಕಾಶಮಾನವಾದ,bright
588,ಅನಿಲ,gas
589,ಹವಾಮಾನ,weather
590,ತಿಂಗಳು,month
591,ಮಿಲಿಯನ್,million
592,ಕರಡಿ,bear
593,ಅಂತಿಮ,finish
594,ಸಂತೋಷ,happy
595,ಭಾವಿಸುತ್ತೇವೆ,hope
596,ಹೂವಿನ,flower
597,ಬಟ್ಟೆಗೆ,clothe
598,ವಿಚಿತ್ರ,strange
599,ಹೋದ,gone
600,ವ್ಯಾಪಾರ,trade
601,ಮಧುರ,melody
602,ಪ್ರವಾಸ,trip
603,ಕಚೇರಿ,office
604,ಸ್ವೀಕರಿಸಲು,receive
605,ಸಾಲು,row
606,ಬಾಯಿ,mouth
607,ನಿಖರ,exact
608,ಚಿಹ್ನೆ,symbol
609,ಸಾಯುವ,die
610,ಕನಿಷ್ಠ,least
611,ತೊಂದರೆ,trouble
612,ಕೂಗು,shout
613,ಹೊರತುಪಡಿಸಿ,except
614,ಬರೆದ,wrote
615,ಬೀಜ,seed
616,ಟೋನ್,tone
617,ಸೇರಲು,join
618,ಸಲಹೆ,suggest
619,ಕ್ಲೀನ್,clean
620,ಬ್ರೇಕ್,break
621,ಮಹಿಳೆ,lady
622,ಹೊಲದಲ್ಲಿ,yard
623,ಏರಿಕೆ,rise
624,ಕೆಟ್ಟ,bad
625,ಬ್ಲೋ,blow
626,ತೈಲ,oil
627,ರಕ್ತ,blood
628,ಟಚ್,touch
629,ಬೆಳೆಯಿತು,grew
630,ಶೇ,cent
631,ಮಿಶ್ರಣ,mix
632,ತಂಡ,team
633,ತಂತಿ,wire
634,ವೆಚ್ಚ,cost
635,ಕಳೆದು,lost
636,ಕಂದು,brown
637,ಭಾಷೆಗಳು,wear
638,ತೋಟದ,garden
639,ಸಮಾನ,equal
640,ಕಳುಹಿಸಿದ,sent
641,ಆಯ್ಕೆ,choose
