Number,Kannada,in English
1,ಮಾಹಿತಿ,as
2,ನಾನು,I
3,ಅವರ,his
4,ಆ,that
5,ಅವರು,he
6,ಆಗಿತ್ತು,was
7,ಫಾರ್,for
8,ಮೇಲೆ,on
9,ಇವೆ,are
10,ಜೊತೆ,with
11,ಅವರು,they
12,ಎಂದು,be
13,ನಲ್ಲಿ,at
14,ಒಂದು,one
15,ಹೊಂದಿವೆ,have
16,ಈ,this
17,ರಿಂದ,from
18,ಮೂಲಕ,by
19,ಬಿಸಿ,hot
20,ಪದ,word
21,ಆದರೆ,but
22,ಏನು,what
23,ಕೆಲವು,some
24,ಆಗಿದೆ,is
25,ಇದು,it
26,ನೀವು,you
27,ಅಥವಾ,or
28,ಹೊಂದಿತ್ತು,had
29,ದಿ,the
30,ನ,of
31,ಗೆ,to
32,ಮತ್ತು,and
33,ಒಂದು,a
34,ರಲ್ಲಿ,in
35,ನಾವು,we
36,ಮಾಡಬಹುದು,can
37,ಔಟ್,out
38,ಇತರ,other
39,ಎಂದು,were
40,ಇದು,which
41,ಹಾಗೆ,do
42,ತಮ್ಮ,their
43,ಸಮಯ,time
44,ವೇಳೆ,if
45,ತಿನ್ನುವೆ,will
46,ಹೇಗೆ,how
47,ಹೇಳಿದರು,said
48,ಒಂದು,an
49,ಪ್ರತಿ,each
50,ಹೇಳಲು,tell
51,ಮಾಡುತ್ತದೆ,does
52,ಸೆಟ್,set
53,ಮೂರು,three
54,ಬಯಸುವ,want
55,ಗಾಳಿ,air
56,ಹಾಗೂ,well
57,ಸಹ,also
58,ಆಡಲು,play
59,ಸಣ್ಣ,small
60,ಕೊನೆಯಲ್ಲಿ,end
61,ಪುಟ್,put
62,ಮನೆ,home
63,ಓದಲು,read
64,ಕೈ,hand
65,ಬಂದರು,port
66,ದೊಡ್ಡ,large
67,ಕಾಗುಣಿತ,spell
68,ಸೇರಿಸಬಹುದು,add
69,ಸಹ,even
70,ಭೂಮಿ,land
71,ಇಲ್ಲಿ,here
72,ಮಾಡಬೇಕಾಗುತ್ತದೆ,must
73,ದೊಡ್ಡ,big
74,ಹೆಚ್ಚಿನ,high
75,ಇಂತಹ,such
76,ಅನುಸರಿಸಿ,follow
77,ಆಕ್ಟ್,act
78,ಏಕೆ,why
79,ಕೇಳಿ,ask
80,ಪುರುಷರು,men
81,ಬದಲಾವಣೆ,change
82,ಹೋದರು,went
83,ಬೆಳಕಿನ,light
84,ರೀತಿಯ,kind
85,ಆಫ್,off
86,ಅಗತ್ಯವಿದೆ,need
87,ಮನೆ,house
88,ಚಿತ್ರ,picture
89,ಪ್ರಯತ್ನಿಸಿ,try
90,ನಮಗೆ,us
91,ಮತ್ತೆ,again
92,ಪ್ರಾಣಿ,animal
93,ಪಾಯಿಂಟ್,point
94,ತಾಯಿ,mother
95,ವಿಶ್ವದ,world
96,ಬಳಿ,near
97,ನಿರ್ಮಿಸಲು,build
98,ಸ್ವಯಂ,self
99,ಭೂಮಿಯ,earth
100,ತಂದೆ,father
101,ಯಾವುದೇ,any
102,ಹೊಸ,new
103,ಕೆಲಸ,work
104,ಭಾಗ,part
105,ತೆಗೆದುಕೊಳ್ಳಲು,take
106,ಪಡೆಯಲು,get
107,ಸ್ಥಾನ,place
108,ಮಾಡಿದ,made
109,ಲೈವ್,live
110,ಎಲ್ಲಿ,where
111,ನಂತರ,after
112,ಮತ್ತೆ,back
113,ಕಡಿಮೆ,little
114,ಮಾತ್ರ,only
115,ಸುತ್ತಿನಲ್ಲಿ,round
116,ವ್ಯಕ್ತಿ,man
117,ವರ್ಷ,year
118,ಬಂದರು,came
119,ಪ್ರದರ್ಶನ,show
120,ಪ್ರತಿ,every
121,ಉತ್ತಮ,good
122,ನನಗೆ,me
123,ನೀಡಿ,give
124,ನಮ್ಮ,our
125,ಅಡಿಯಲ್ಲಿ,under
126,ಹೆಸರು,name
127,ಅತ್ಯಂತ,very
128,ಮೂಲಕ,through
129,ಕೇವಲ,just
130,ರೂಪ,form
131,ವಾಕ್ಯ,sentence
132,ಮಹಾನ್,great
133,ನಗರದ,think
134,ಹೇಳಲು,say
135,ಸಹಾಯ,help
136,ಕಡಿಮೆ,low
137,ಸಾಲು,line
138,ಭಿನ್ನವಾಗಿರುತ್ತವೆ,differ
139,ತಿರುವು,turn
140,ಕಾರಣ,cause
141,ಹೆಚ್ಚು,much
142,ಅರ್ಥ,mean
143,ಮೊದಲು,before
144,ನಡೆಸುವಿಕೆಯನ್ನು,move
145,ಬಲ,right
146,ಹುಡುಗ,boy
147,ಹಳೆಯ,old
148,ತುಂಬಾ,too
149,ಅದೇ,same
150,ಅವರು,she
151,ಎಲ್ಲಾ,all
152,ಇಲ್ಲ,there
153,ಯಾವಾಗ,when
154,ಅಪ್,up
155,ಬಳಕೆ,use
156,ನಿಮ್ಮ,your
157,ರೀತಿಯಲ್ಲಿ,way
158,ಬಗ್ಗೆ,about
159,ಅನೇಕ,many
160,ನಂತರ,then
161,ಅವುಗಳನ್ನು,them
162,ಬರೆಯಲು,write
163,ಎಂದು,would
164,ಹಾಗೆ,like
165,ಆದ್ದರಿಂದ,so
166,ಈ,these
167,ತನ್ನ,her
168,ಉದ್ದ,long
169,ಮಾಡಲು,make
170,ವಿಷಯ,thing
171,ನೋಡಿ,see
172,ಅವರಿಗೆ,him
173,ಎರಡು,two
174,ಹೊಂದಿದೆ,has
175,ನೋಡಲು,look
176,ಹೆಚ್ಚು,more
177,ದಿನ,day
178,ಸಾಧ್ಯವೋ,could
179,ಹೋಗಿ,go
180,ಬಂದು,come
181,ಮಾಡಿದರು,did
182,ಸಂಖ್ಯೆ,number
183,ಧ್ವನಿ,sound
184,ಯಾವುದೇ,no
185,ಅತ್ಯಂತ,most
186,ಜನರು,people
187,ನನ್ನ,my
188,ಮೇಲೆ,over
189,ಗೊತ್ತು,know
190,ನೀರಿನ,water
191,ಕ್ಕಿಂತ,than
192,ಕರೆ,call
193,ಮೊದಲ,first
194,ಯಾರು,who
195,ಮೇ,may
196,ಕೆಳಗೆ,down
197,ಅಡ್ಡ,side
198,ಬಂದಿದೆ,been
199,ಈಗ,now
200,ಹೇಗೆ,find
201,ತಲೆ,head
202,ನಿಲ್ಲಲು,stand
203,ಶಾಲೆ,own
204,ಪುಟ,page
205,ಮಾಡಬೇಕಾದುದು,should
206,ದೇಶದ,country
207,ಕಂಡುಬಂದಿಲ್ಲ,found
208,ಉತ್ತರ,answer
209,ಶಾಲೆಯ,school
210,ಬೆಳೆಯಲು,grow
211,ಅಧ್ಯಯನ,study
212,ಇನ್ನೂ,still
213,ತಿಳಿಯಲು,learn
214,ಸಸ್ಯ,plant
215,ಕವರ್,cover
216,ಆಹಾರ,food
217,ಸೂರ್ಯ,sun
218,ನಾಲ್ಕು,four
219,ನಡುವೆ,between
220,ರಾಜ್ಯ,state
221,ಇರಿಸಿಕೊಳ್ಳಲು,keep
222,ಕಣ್ಣಿನ,eye
223,ಎಂದಿಗೂ,never
224,ಕಳೆದ,last
225,ಅವಕಾಶ,let
226,ಭಾವಿಸಲಾಗಿದೆ,thought
